_id,createdAt,headlines,id,source
648d7233cfd0d75613abb028,2023-06-17T08:43:31.518Z,"[{""id"":""367e61ca-d46f-4220-a46a-7b671903066d"",""headline"":""PM Shehbaz to relinquish party position upon Nawaz’s return"",""sentiment"":0},{""id"":""1b429e02-a4de-47aa-b00a-4617ae218b7c"",""headline"":""Shaheen returns to Pakistan Test side for two-match series in Sri Lanka"",""sentiment"":0},{""id"":""b6f01121-67eb-4ef1-98c3-1477cdf54c69"",""headline"":""Life returns to normal as Biparjoy dissipates"",""sentiment"":0},{""id"":""1a4dd237-97f7-4f02-bc74-3efede27a74b"",""headline"":""Draft law to limit disqualification period, empower ECP okayed"",""sentiment"":0},{""id"":""677226ed-6996-423d-8662-93301cd7ea5f"",""headline"":""Pakistan seeks DNA to identify victims of boat tragedy"",""sentiment"":0},{""id"":""5c9bab94-6f29-4e65-907b-65bb169ad7f5"",""headline"":""SBP gets $1bn from China"",""sentiment"":0},{""id"":""f39eee09-5359-40b8-b985-aaa0d1dab6f9"",""headline"":""US has no stance on ‘private citizen’ Imran: State Dept"",""sentiment"":0},{""id"":""1fa4afff-2911-4df3-ba7a-79084bfb4eb7"",""headline"":""First Muslim woman confirmed as US federal judge"",""sentiment"":0},{""id"":""6ce9c2d4-3d62-4d1f-8dd3-d992f670a43c"",""headline"":""Stronger foreign ties essential for solving domestic issues, says Bilawal"",""sentiment"":0},{""id"":""bf9d8318-d92c-4ec3-9229-b9122f355940"",""headline"":""PPP gives govt flak over budget promises"",""sentiment"":0}]",bc357db1-9f37-491b-8a8e-0adfeca8205d,dawn.com
648d7233cfd0d75613abb02e,2023-06-17T08:43:31.525Z,"[{""id"":""821da1d5-c9ca-470f-a658-e0f046c91406"",""headline"":""Chinese e-commerce giants entice cautious consumers with steep mid-year discounts"",""sentiment"":1},{""id"":""4c178218-3f7d-4dbd-9432-865e55e3ef3b"",""headline"":""'Incompetent people' brought back terrorism to Pakistan: Maryam Nawaz"",""sentiment"":0},{""id"":""0be84127-b350-49ce-87d5-902f6998f24d"",""headline"":""Eight people die in Mexico heatwave"",""sentiment"":0},{""id"":""30675bac-e9e7-4cac-ac69-c6b6b5e1c0e1"",""headline"":""Amendment in lifetime disqualification law to clash with SC judgment: Sheikh Rashid"",""sentiment"":0},{""id"":""f08111c2-1d83-4389-bde0-a94a7d094860"",""headline"":""Daniel Ellsberg, who leaked 'Pentagon Papers,' dies at 92"",""sentiment"":0},{""id"":""c9c96c6b-a461-4fbe-928b-4fff6e24a917"",""headline"":"" Pakistan coastline now 'safe' as Cyclone Biparjoy weakens after striking India's Gujarat "",""sentiment"":0},{""id"":""51818a49-1551-45eb-a0e8-efea12b91ebd"",""headline"":"" US supports IMF programme for Pakistan: Secretary Yellen "",""sentiment"":0},{""id"":""4a11a8da-7bbe-4d48-96ea-fca32d6b37e7"",""headline"":"" Pakistan sees remittances dipped to $24.83bn in 11MFY23  "",""sentiment"":0},{""id"":""4ee251ba-53bc-4755-831d-a04f61fc8d3b"",""headline"":"" Record 110 million people worldwide now forcibly displaced, says UN "",""sentiment"":0}]",3aa9e908-83ec-4f6d-bee7-f813ae6e549e,dunyanews
648d7233cfd0d75613abb02a,2023-06-17T08:43:31.520Z,"[{""id"":""a212a52f-8130-4fe7-9aa3-df7cf347b812"",""headline"":""Top NewsFawad Chaudhry to be indicted in ECP threatening case on June 24Cyclone Biparjoy converts into Depression, brings heavy rainPakistan gets $1bn loan from China: SBPChina takes next step in currency globalizationGovt says ‘keenly engaged’ with IMF over budget 2023-24Editors PickGreece Shipwreck: Hundreds missing, 12 Pakistanis rescuedFIA Interpol apprehends wanted criminal from Lahore airportCTD arrests six ‘militants’ of banned outfits in Punjab IBOsPCB announces 16-player squad for Sri Lanka Test seriesUC Chairman Afaaq Baig arrested in Karachi, released after eight hoursPPP to hold power show in Swat todayPM Shehbaz Sharif consults top allies on political situationToshakhana case: NAB summons PTI chairman on June 21"",""sentiment"":0},{""id"":""2f30870e-7332-48c1-9ac0-9b4421df238b"",""headline"":""Top NewsFawad Chaudhry to be indicted in ECP threatening case on June 24Cyclone Biparjoy converts into Depression, brings heavy rainPakistan gets $1bn loan from China: SBPChina takes next step in currency globalizationGovt says ‘keenly engaged’ with IMF over budget 2023-24"",""sentiment"":0},{""id"":""5fc96792-8e0c-4411-b061-020cdbf059e7"",""headline"":""Top News"",""sentiment"":0},{""id"":""02334005-26ea-4856-b342-a54a411bb141"",""headline"":""Fawad Chaudhry to be indicted in ECP threatening case on June 24"",""sentiment"":0}]",2e355530-174a-498d-9673-8a3d964bab9a,arynews
648d7233cfd0d75613abb02c,2023-06-17T08:43:31.523Z,"[{""id"":""cda09de2-6bf9-448f-bda6-7484558e120f"",""headline"":""Not undermining anyone, but constrained to tell truth, says Miftah in response to PM's criticism "",""sentiment"":0},{""id"":""344ef3d9-0e87-4fac-bd12-4f57df1bd9d8"",""headline"":""Amendment to Election Act: Attempt to pave way for Nawaz’s participation in elections?"",""sentiment"":0},{""id"":""31cca8a7-b595-464b-a77a-32a2af7cc48b"",""headline"":""Pakistan fishermen allowed to resume activities as cyclone Biparjoy further weakens"",""sentiment"":0},{""id"":""5c0f44dc-08cf-4ca9-bd50-634153863c22"",""headline"":""Fawad Chaudhry to be indicted in threatening ECP case on June 24"",""sentiment"":0},{""id"":""893de782-4cf9-42f3-8a06-281146ebcea0"",""headline"":""Pakistan announce 16-player squad for Sri Lanka Test series as Shaheen returns to fold"",""sentiment"":0},{""id"":""ed6d9c5d-cb66-4193-a0ec-da2890aa6c89"",""headline"":""No key role for PTI chief in national politics anymore: Rana Sanaullah"",""sentiment"":0},{""id"":""ae33a500-ee7a-41ce-8b85-a94577413f74"",""headline"":""NAB summons PTI chief again in Toshakhana case"",""sentiment"":0},{""id"":""b6139da4-f14e-46e5-b2dd-02fbdc163683"",""headline"":""Pakistan's textile exports register fall for 8th straight month"",""sentiment"":0},{""id"":""5c5e5cb7-72fd-4070-b55d-a325242467ba"",""headline"":""SC laws to enable petitioners to fully convince court: AGP"",""sentiment"":0},{""id"":""d4ea3c7b-1dc7-4b80-ae40-34869b0b26fd"",""headline"":""'Fixed!': Meta services restored after hours of outage"",""sentiment"":0}]",bc4c04d2-9403-4ecd-931c-064d577a9baf,geo.tv
648f06f66fa60004bc26755b,2023-06-18T13:30:30.457Z,"[{""id"":""8ce0d42b-bf44-458e-a954-65e450e6af58"",""headline"":""PM Shehbaz constitutes 4-member inquiry committee to ascertain facts of Greece boat tragedy"",""sentiment"":0},{""id"":""edf1786d-0034-4d6a-bf4d-71d3cd7344f1"",""headline"":""FIR filed against bus driver, owner, 3 others over Kallar Kahar bus accident"",""sentiment"":0},{""id"":""d4145949-5cd6-4af9-92d9-8b8896bfa36a"",""headline"":""2 arrested in India’s UP after video of Muslim man being beaten, forced to chant Hindu slogans goes viral"",""sentiment"":0},{""id"":""a34cc199-d948-4fe1-bb6c-b4f5e65f33f6"",""headline"":""Blinken in China for rare trip amid frosty ties and dim hopes for progress"",""sentiment"":0},{""id"":""4572b8fd-b008-4c17-b9b7-fbdc65965845"",""headline"":""Nearly 100 dead as Indian states swelter in heat"",""sentiment"":0},{""id"":""8257acb2-b57e-4de4-8b6d-7fe0cc092e34"",""headline"":""England’s Moeen Ali fined for using dry agent in Ashes Test"",""sentiment"":0},{""id"":""ad6e56d9-ebc5-4d19-a101-1638e952369a"",""headline"":""India eases curfew in violence-hit Manipur after 45 days of unrest"",""sentiment"":0},{""id"":""d2a317da-091f-4d37-9272-3bc64ecc4832"",""headline"":""‘Terrible’: UK minister sorry for Covid lockdown party video"",""sentiment"":0},{""id"":""0fb9a629-1c9f-48bc-abdd-6803ee92d995"",""headline"":""No ‘special discount’ for Pakistan on fuel purchase, says Russian minister"",""sentiment"":0},{""id"":""9fb90891-cc39-418c-8869-b1e00dfae191"",""headline"":""One dead, 25 missing as heavy rains lash east Nepal"",""sentiment"":0}]",bc1a471d-3ff6-4aba-84e8-4e6c285351b7,dawn.com
648f06f66fa60004bc26755d,2023-06-18T13:30:30.468Z,"[{""id"":""19bea344-489e-47f8-a15e-dde92aaba2df"",""headline"":""Top NewsGreece boat disaster: PM Shehbaz Sharif orders crackdown against human smugglersGreece boat accident: AJK police arrest 10 human traffickersNational footballer Shumaila Sattar held in Jinnah House attack caseRussia positions nuclear bombs in BelarusPM consults allies over pre-date dissolution of National AssemblyEditors PickJI announces to move court against LG polls’ resultEveryone has to shoulder responsibility, Iqbal tells Bilawal on budget complaintEidul Adha: Ruet body meets tomorrow for Zil Hajj moon sightingCTD arrest main suspect in Karachi cash van heistBLF commander Nawaz Ali mysteriously dies in neighbouring countryNTDC restores power supply to K-ElectricMurtaza Wahab set to take oath as Karachi mayorKallar Kahar bus tragedy: PM orders action against unfit vehicles"",""sentiment"":0},{""id"":""0ee19aff-3d9c-4ed0-8fef-bec6f1138304"",""headline"":""Top NewsGreece boat disaster: PM Shehbaz Sharif orders crackdown against human smugglersGreece boat accident: AJK police arrest 10 human traffickersNational footballer Shumaila Sattar held in Jinnah House attack caseRussia positions nuclear bombs in BelarusPM consults allies over pre-date dissolution of National Assembly"",""sentiment"":0},{""id"":""74f8b4bf-8ee1-4662-9fd5-c67e08640094"",""headline"":""Top News"",""sentiment"":0},{""id"":""8fabb0e7-eedc-4d33-9329-3285f387e91d"",""headline"":""Greece boat disaster: PM Shehbaz Sharif orders crackdown against human smugglers"",""sentiment"":0}]",a24dcbda-9081-4ef0-8795-a0977753372f,arynews
648f06f66fa60004bc26755f,2023-06-18T13:30:30.472Z,"[{""id"":""775d3888-b6d2-4e31-9259-2b19cd81add1"",""headline"":""Greece boat disaster: Pakistan to observe day of mourning tomorrow "",""sentiment"":0},{""id"":""5525c5e6-c106-46a4-a1cf-7607858b0a1b"",""headline"":""Under Plan B, Pakistan to seek $3-4bn from friendly countries"",""sentiment"":0},{""id"":""dc1bfd30-5ea2-4155-9dc0-14d49b96802b"",""headline"":""Poliovirus detected in KP’s environmental samples"",""sentiment"":0},{""id"":""26e7c91f-1a0c-430a-a3ab-15c3fa715b33"",""headline"":""PPP, PML-N to iron out differences in tomorrow's meeting"",""sentiment"":0},{""id"":""b6e91a75-a9d6-49df-845a-f5ddfc3603ae"",""headline"":""Senate chairman to get ‘extraordinary facilities’ under govt bill"",""sentiment"":0},{""id"":""b6a71dba-8dd6-4a75-ae6c-726afdc13f6f"",""headline"":""Chinese inflows to keep rupee stable in coming week"",""sentiment"":0},{""id"":""4f8bb023-ae5d-4e6f-9c3a-ce5f7befe64b"",""headline"":""Blinken in Beijing on fence-mending mission but breakthrough unlikely"",""sentiment"":0},{""id"":""500469d5-ce26-4a29-a888-96166c6bd4fd"",""headline"":""Azerbaijan LNG procurement: Shahid Khaqan quit ECC membership in protest"",""sentiment"":0},{""id"":""0197fcda-7dee-4a8a-8c0d-2af3dec3a7b4"",""headline"":""Karachi weather update: Port city to witness humid winds with drizzle today"",""sentiment"":0}]",433c38b5-c433-4402-8ab1-941b014cc990,geo.tv
648f06f66fa60004bc267561,2023-06-18T13:30:30.474Z,"[{""id"":""7ce6965d-dfaf-4145-9baf-22fba8b89d2d"",""headline"":""Pakistan has no problem with US-India partnership: Khawaja Asif "",""sentiment"":0},{""id"":""983db803-eec2-4351-afec-489222e6d58f"",""headline"":""Murtaza Wahab to take oath as Karachi mayor on June 19"",""sentiment"":0},{""id"":""fa210d93-1088-4767-9328-3eadff61e8b7"",""headline"":""Shandur Polo festival to be held on July 7"",""sentiment"":0},{""id"":""d6a6cdb0-015c-40e2-9022-16a194890bdf"",""headline"":""Pakistan captures 10 trafficking suspects after Greek boat disaster"",""sentiment"":0},{""id"":""785eab22-31e1-4982-9b46-ecee54b256f9"",""headline"":""Swiss referendum set to back global minimum corporate tax, climate goals"",""sentiment"":0},{""id"":""637665af-ba6a-4f8c-b16c-f83a2fcfb0bb"",""headline"":"" Iran, Saudi Arabia move further toward reconciliation "",""sentiment"":0},{""id"":""b4eacf83-0a41-4a6d-96fe-1ff577085252"",""headline"":"" BLF Commander Nawaz Rind killed outside Pakistan     "",""sentiment"":0},{""id"":""6bf3fa7b-d497-40e9-91ab-dd28eec035fb"",""headline"":"" Ruet-e-Hilal committee meets tomorrow for sighting of Zilhaj moon "",""sentiment"":0},{""id"":""8f75a7fa-c38a-4ff8-b357-1b313f944a47"",""headline"":"" Record 110 million people worldwide now forcibly displaced, says UN "",""sentiment"":0}]",91fbe93c-b874-4649-87c4-86aa9746cff7,dunyanews
649044c86fa60004bc267563,2023-06-19T12:06:32.484Z,"[{""id"":""5407d430-8611-4211-a578-0b57ff7f3ccd"",""headline"":""SC reserves verdict on pleas challenging review of judgments law"",""sentiment"":0},{""id"":""3ce08d61-0e12-46b1-aea7-6ed374ff7f9f"",""headline"":""Greece boat tragedy: FIA says ‘key suspect’ arrested from Gujrat as nation observes day of mourning"",""sentiment"":0},{""id"":""68d33eea-4306-4bcd-a04e-f0eab41f22cb"",""headline"":""JI to stage protest outside ECP’s Islamabad office against ‘fake’ Karachi mayor election"",""sentiment"":0},{""id"":""3e630351-6f26-41f3-9f0a-bdaf6b60fa1b"",""headline"":""Mohsin Dawar seeks probe into MNA Ali Wazir’s ‘abduction’ amid reports of arrest"",""sentiment"":0},{""id"":""9fcf9551-a754-4b8a-888d-6b1b46d69ad3"",""headline"":""Scores die in northern India as heat wave scorches region"",""sentiment"":0},{""id"":""baa4b6ca-efe6-4c5e-9033-1909b26adfa0"",""headline"":""Xi says China, US ‘made progress’ in Blinken visit"",""sentiment"":0},{""id"":""babcf070-bb71-445a-af73-a77a7dc55270"",""headline"":""UAE, Qatar reopen embassies after years of tensions"",""sentiment"":0},{""id"":""5cbc0176-a229-417e-8f01-5db93952de14"",""headline"":""Greece boat tragedy: Pakistanis were forced below deck, says report"",""sentiment"":0},{""id"":""4e6943cd-d6a8-4e4b-993b-88c29d4d3836"",""headline"":""Ruling party scrambles to appease allies"",""sentiment"":0},{""id"":""73fcd4c9-54a2-491d-ac1e-2055bc54b9e5"",""headline"":""Key militant commander gunned down in Darra"",""sentiment"":0}]",2f274e74-a662-4072-8405-8d41dce9d6fd,dawn.com
649044c86fa60004bc267565,2023-06-19T12:06:32.490Z,"[{""id"":""8d954585-36d8-4a4b-b53c-c88b11aabd87"",""headline"":""Top NewsSC reserves verdict on pleas against judgements review lawIMF Board meetings schedule set without PakistanGreece ship tragedy: Pakistan observes day of mourning todayGreece boat disaster: ‘Pakistanis were forced below deck in refugee vessel’Greece boat disaster: PM Shehbaz Sharif orders crackdown against human smugglersEditors PickCase registered for dumping garbage into Malir RiverPPP, PML-N to hold talks on federal budget reservations todayWhere is Pakistan headed without IMF?FIA registers cases against human traffickers in Greece boat tragedyANF crackdown: Six drug traffickers apprehendedGreece boat tragedy: Committee launches probe into caseKarachi Intermediate Board releases revised exam scheduleDifferences ‘intensify’ among PPP, PML-N"",""sentiment"":0},{""id"":""e33c23f3-528a-4188-b7cb-249a930d9b29"",""headline"":""Top NewsSC reserves verdict on pleas against judgements review lawIMF Board meetings schedule set without PakistanGreece ship tragedy: Pakistan observes day of mourning todayGreece boat disaster: ‘Pakistanis were forced below deck in refugee vessel’Greece boat disaster: PM Shehbaz Sharif orders crackdown against human smugglers"",""sentiment"":0},{""id"":""5901b542-8686-4797-86c0-a314fb5abb9a"",""headline"":""Top News"",""sentiment"":0},{""id"":""018d1365-beef-4c41-b8f0-dedda6a17542"",""headline"":""SC reserves verdict on pleas against judgements review law"",""sentiment"":0}]",51ec9207-fec2-46c0-a151-3dc68b748ae2,arynews
